,StockCode,sold_times,customer_count,return_rate,quantity_real,sales_total,unit_price,cluster
0,10002,49,40,0.0,823,699.55,0.85,2
1,10080,21,19,0.0,291,247.35,0.85,2
2,10120,28,25,0.0,186,39.059999999999995,0.20999999999999996,2
5,10125,61,48,0.0,1199,1019.15,0.85,2
6,10133,122,101,0.42140750105351876,2363,2008.55,0.85,2
7,10135,114,91,0.05353319057815846,1867,2333.75,1.25,2
8,11001,61,42,15.016233766233766,1047,1769.4299999999998,1.69,2
9,15030,12,10,0.0,141,40.89,0.29,2
10,15034,91,70,21.57656955912136,5034,704.7600000000001,0.14,3
11,15036,323,193,3.4084661902144036,21084,15813.0,0.75,0
12,15039,68,57,1.6709511568123392,1530,1300.5,0.85,2
13,15044,254,85,0.43130006161429446,1616,4767.200000000001,2.9500000000000006,2
14,15056,790,243,2.5698013613001804,7014,41733.3,5.95,1
15,15058,122,69,2.1929824561403506,446,3545.7000000000003,7.95,2
16,15060,95,68,0.24330900243309003,410,1537.5,3.75,2
17,16008,66,52,0.0,2556,639.0,0.25,2
19,16011,45,37,0.0,1724,362.03999999999996,0.21,2
20,16012,34,31,0.0,1195,250.95,0.21,2
21,16014,52,34,0.0,13258,5568.36,0.42,2
22,16015,24,19,0.0,662,331.0,0.5,2
23,16016,60,40,0.0,1193,1014.05,0.85,2
25,16033,4,4,0.0,840,100.8,0.12,2
27,16045,67,59,0.0,8700,1044.0,0.12,2
29,16048,48,41,0.0,1436,603.12,0.42,2
30,16049,5,5,0.0,504,211.67999999999998,0.42,2
31,16052,6,5,0.0,467,196.14,0.42,2
32,16054,32,28,9.557522123893806,1022,429.24,0.42,2
34,16156,180,143,0.0,6150,2583.0,0.42,0
35,16161,397,281,0.42369290738073045,11751,4935.42,0.42,0
37,16168,19,18,0.0,305,128.1,0.42,2
38,16169,173,154,0.4904845987835982,5072,2130.24,0.42,0
42,16216,38,35,0.0,3206,512.96,0.16,2
43,16218,47,41,0.0,3665,586.4,0.16,2
44,16219,46,40,0.0,2900,609.0,0.21,2
45,16225,63,49,0.0,660,825.0,1.25,2
46,16235,79,67,0.038476337052712584,2598,545.5799999999999,0.20999999999999996,2
47,16236,66,54,0.0,1254,263.34,0.21,2
48,16237,157,105,1.3654984069185254,4334,910.14,0.21,2
49,16238,71,58,0.0,1206,253.26,0.21,2
53,16258,31,23,0.3508771929824561,284,119.28,0.42,2
54,16259,31,28,3.195266272189349,3272,687.12,0.21,2
56,17003,197,131,0.013253224951404843,22633,4752.929999999999,0.20999999999999996,0
59,17012,174,61,0.0,1779,4536.45,2.55,2
60,17013,11,10,0.0,532,877.8,1.65,2
61,17014,7,7,0.0,154,77.0,0.5,2
62,17021,50,30,0.0,2355,565.1999999999999,0.23999999999999996,2
64,17038,19,18,0.0,1501,105.07000000000001,0.07,2
65,17084,85,43,0.0,5734,917.44,0.16,2
66,17090,23,12,0.0,138,172.5,1.25,2
67,17091,107,62,0.0,2021,2526.25,1.25,2
68,17096,13,12,0.0,2516,427.72,0.17,2
69,17107,45,41,0.0,165,420.74999999999994,2.55,2
71,17129,19,11,0.468384074941452,425,272.0,0.64,2
72,17136,17,16,0.0,352,73.92,0.21,2
77,18007,18,15,0.0,5856,1054.08,0.18,2
78,18094,15,13,0.0,134,167.5,1.25,2
79,18097,56,46,43.32344213649852,382,974.0999999999999,2.55,3
80,18098,38,24,0.0,193,569.35,2.95,2
81,20615,34,28,0.0,230,483.0,2.1,2
82,20616,24,18,0.0,133,279.3,2.1,2
85,20619,22,16,0.0,142,106.5,0.75,2
86,20622,32,24,0.0,162,340.2,2.1,2
87,20652,32,26,0.0,146,182.5,1.25,2
89,20654,23,21,0.0,104,130.0,1.25,2
92,20658,61,44,0.0,327,408.75,1.25,2
98,20665,73,58,0.0,340,1003.0000000000001,2.95,2
101,20668,171,104,0.0,11196,1119.6000000000001,0.1,0
102,20669,47,36,0.0,195,243.75,1.25,2
105,20674,145,98,0.45214770158251694,1321,1651.25,1.25,2
106,20675,221,146,0.44510385756676557,2684,3355.0,1.25,0
